Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
SEA,2023,LAR,DET,CAR,NYG,CIN,ARI,CLE,BAL,WAS,LAR,SFO,DAL,SFO,PHI,TEN,PIT,ARI
SFO,2023,PIT,LAR,NYG,ARI,DAL,CLE,MIN,CIN,JAX,TAM,SEA,PHI,SEA,ARI,BAL,WAS,LAR
TAM,2023,MIN,CHI,PHI,NOR,DET,ATL,BUF,HOU,TEN,SFO,IND,CAR,ATL,GNB,JAX,NOR,CAR
TEN,2023,NOR,LAC,CLE,CIN,IND,BAL,ATL,PIT,TAM,JAX,CAR,IND,MIA,HOU,SEA,HOU,JAX
WAS,2023,ARI,DEN,BUF,PHI,CHI,ATL,NYG,PHI,NWE,SEA,NYG,DAL,MIA,LAR,NYJ,SFO,DAL
ARI,2024,BUF,MIA,DET,MIN,SFO,DAL,CHI,SEA,CLE,GNB,PIT,LAR,NYJ,CAR,ATL,TEN,LVR
ATL,2024,PIT,PHI,NOR,KAN,WAS,TAM,SEA,DET,MIN,HOU,DEN,GNB,SFO,LAC,CIN,LVR,CAR
BAL,2024,KAN,LVR,DAL,BUF,WAS,PIT,CIN,CLE,TAM,DEN,NOR,SFO,MIA,NWE,HOU,NYJ,CAR
BUF,2024,ARI,MIA,NYJ,HOU,BAL,CIN,NWE,SFO,DAL,TEN,PHI,KAN,DET,JAX,GNB,LVR,PIT
CAR,2024,NOR,LAC,CHI,MIN,CLE,HOU,ATL,DEN,TAM,NYG,WAS,SFO,CIN,JAX,BAL,TEN,SEA
CHI,2024,TEN,HOU,IND,MIN,LAR,CAR,NWE,DET,NYG,SFO,GNB,PIT,SEA,CLE,ATL,WAS,ARI
CIN,2024,NWE,IND,BAL,PIT,WAS,TEN,JAX,CLE,DAL,NYG,BUF,HOU,KAN,LVR,SEA,MIN,DET
CLE,2024,DAL,JAX,NYG,KAN,CAR,PIT,BAL,HOU,NYJ,CIN,LAR,DEN,SEA,CHI,MIA,WAS,BUF
DAL,2024,CLE,NOR,BAL,SFO,NYG,PIT,PHI,NYJ,TEN,CIN,WAS,HOU,ATL,DET,LAC,TAM,SEA
DEN,2024,SEA,PIT,NYJ,KAN,LVR,HOU,SFO,BAL,LAC,ATL,CLE,NWE,IND,MIN,DET,CIN,CAR
DET,2024,LAR,TAM,HOU,SEA,ATL,CHI,MIN,SFO,BUF,DAL,CAR,GNB,JAX,KAN,DEN,NYJ,NYG
GNB,2024,NWE,IND,MIN,JAX,CHI,DAL,HOU,CLE,TEN,SFO,PHI,DET,BUF,ATL,LAR,PIT,NYJ
HOU,2024,IND,CHI,BAL,TEN,CAR,DEN,KAN,CLE,NYJ,BUF,LAC,JAX,PIT,GNB,MIA,SFO,DAL
IND,2024,HOU,GNB,CHI,JAX,CIN,TEN,BUF,NYJ,MIA,PIT,LAR,DEN,CLE,ATL,PHI,BAL,NWE
JAX,2024,MIA,CLE,IND,HOU,BUF,CIN,SFO,TEN,NYJ,KAN,NWE,ATL,DET,NWE,LVR,CAR,PIT
KAN,2024,BAL,CIN,ATL,LAR,BUF,DEN,LVR,SFO,NYJ,NWE,TEN,HOU,GNB,SEA,CHI,JAX,PIT
LVR,2024,LAC,BAL,PIT,DEN,KAN,CHI,NYJ,HOU,SEA,SFO,MIA,IND,ATL,BUF,CLE,CIN,ARI
LAC,2024,LVR,CAR,PIT,DAL,DEN,KAN,HOU,BUF,ATL,JAX,NYG,MIA,NWE,SFO,TAM,NYJ,ARI
LAR,2024,DET,SFO,CHI,GNB,CLE,SEA,KAN,LAC,NYJ,BUF,MIN,NWE,TEN,BAL,ARI,DAL,NYG
MIA,2024,JAX,BUF,HOU,NYJ,DEN,ARI,SFO,NWE,BAL,PHI,TEN,DET,LVR,CIN,WAS,PIT,CLE
