Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Dante Pettis,2019,SFO,WR,24,11,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,109.0,2.0,0.0,0.0,0.0,34.5,15.6,2TM
Laquon Treadwell,2019,MIN,WR,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,184.0,1.0,0.0,0.0,0.0,33.4,22.9,ATL
Olamide Zaccheaus,2019,ATL,WR,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,115.0,1.0,0.0,0.0,0.0,26.5,53.4,ATL
JJ Arcega-Whiteside,2019,PHI,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,169.0,1.0,0.0,0.0,0.0,32.9,20.5,PHI
Bennie Fowler,2019,NYG,WR,28,8,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,36.0,23.0,193.0,0.0,0.0,1.0,0.0,46.3,3.1,NOR
Byron Pringle,2019,KAN,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,170.0,1.0,0.0,0.0,0.0,35.0,41.0,KAN
Duke Williams,2019,BUF,WR,27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,166.0,1.0,0.0,0.0,0.0,34.6,0.0,BUF
Zay Jones,2019,2TM,WR,24,15,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,45.0,27.0,216.0,0.0,0.0,0.0,0.0,48.9,36.6,LVR
Tim Patrick,2019,DEN,WR,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,16.0,218.0,0.0,0.0,0.0,0.0,37.8,161.2,DEN
Kalif Raymond,2019,TEN,WR,25,8,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,12.0,9.0,170.0,1.0,1.0,0.0,0.0,29.5,27.4,TEN
Parris Campbell,2019,IND,WR,22,7,0.0,0.0,0.0,0.0,0.0,4.0,34.0,0.0,24.0,18.0,127.0,1.0,1.0,0.0,0.0,38.1,14.7,IND
Richie James,2019,SFO,WR,24,16,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,10.0,6.0,165.0,1.0,1.0,0.0,0.0,26.4,64.4,SFO
Ty Montgomery,2019,NYJ,WR,26,16,0.0,0.0,0.0,0.0,0.0,32.0,103.0,0.0,17.0,13.0,90.0,0.0,0.0,0.0,0.0,32.3,15.8,NOR
Dontrelle Inman,2019,2TM,WR,30,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,181.0,0.0,0.0,0.0,0.0,30.1,46.3,WAS
Devin Smith,2019,DAL,WR,27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,113.0,1.0,0.0,0.0,0.0,22.3,0.0,JAX
DeAndre Carter,2019,HOU,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,162.0,0.0,1.0,0.0,0.0,25.2,-0.2,2TM
Daniel Brown,2019,NYJ,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,72.0,1.0,0.0,0.0,0.0,20.2,5.1,NYJ
Keelan Doss,2019,OAK,WR,23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,133.0,0.0,0.0,0.0,0.0,24.3,0.0,LVR
Mack Hollins,2019,2TM,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,125.0,0.0,0.0,0.0,0.0,22.5,37.6,MIA
Antonio Brown,2019,NWE,WR,31,1,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,8.0,4.0,56.0,1.0,0.0,0.0,0.0,16.1,117.1,TAM
Deon Cain,2019,2TM,WR,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,124.0,0.0,0.0,0.0,0.0,21.4,0.0,PIT
Rashard Higgins,2019,CLE,WR,25,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,55.0,1.0,0.0,0.0,0.0,15.5,120.9,CLE
Brandon Zylstra,2019,CAR,WR,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,106.0,0.0,0.0,0.0,0.0,18.6,12.6,CAR
Marcell Ateman,2019,OAK,WR,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,116.0,0.0,1.0,0.0,0.0,14.6,0.0,LVR
Braxton Berrios,2019,NYJ,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,115.0,0.0,1.0,0.0,0.0,15.5,97.3,NYJ
Deonte Harty,2019,NOR,WR,22,14,0.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,6.0,6.0,24.0,0.0,1.0,0.0,0.0,15.5,47.7,NOR
Christian Blake,2019,ATL,WR,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,91.0,0.0,0.0,0.0,0.0,20.1,27.1,ATL
Antonio Callaway,2019,CLE,WR,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,89.0,0.0,0.0,0.0,0.0,16.9,4.0,MIA
Robert Foster,2019,BUF,WR,25,13,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,18.0,3.0,64.0,0.0,0.0,0.0,0.0,12.3,5.7,WAS
Lee Smith,2019,BUF,WR,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,31.0,1.0,0.0,0.0,0.0,13.1,19.5,BUF
KhaDarel Hodge,2019,CLE,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,76.0,0.0,0.0,0.0,0.0,11.6,29.0,CLE
Trent Sherfield,2019,ARI,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,80.0,0.0,0.0,0.0,0.0,12.0,10.0,ARI
Chad Beebe,2019,MIN,WR,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,70.0,0.0,0.0,0.0,0.0,9.0,50.1,MIN
Chris Hogan,2019,CAR,WR,32,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,67.0,0.0,0.0,0.0,0.0,14.7,25.8,NYJ
Riley Ridley,2019,CHI,WR,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,69.0,0.0,0.0,0.0,0.0,12.9,7.9,CHI
Deontay Burnett,2019,PHI,WR,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,48.0,0.0,0.0,0.0,0.0,6.8,4.9,PHI
Mike Davis,2019,2TM,WR,26,12,0.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,8.0,7.0,22.0,0.0,0.0,0.0,0.0,11.9,206.5,CAR
Cedrick Wilson Jr.,2019,DAL,WR,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,46.0,0.0,0.0,0.0,0.0,9.6,51.6,DAL
Steven Mitchell,2019,HOU,WR,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,37.0,0.0,0.0,0.0,0.0,5.7,11.0,HOU
Jason Moore,2019,LAC,WR,24,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,43.0,0.0,0.0,0.0,0.0,6.3,0.0,LAC
Travis Benjamin,2019,LAC,WR,30,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,30.0,0.0,0.0,0.0,0.0,9.0,-2.0,SFO
