Draft_Year,Round,Pick,Team,Player_draft,Position,Age,College_draft,Conf,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Rec,Receiving_Yds,Receiving_TD
2025,7,236,JAX,LeQuint Allen,RB,21.0,Syracuse,ACC,13.0,0.0,0.0,0.0,0.0,0.0,228.0,1021.0,16.0,64.0,521.0,4.0
2025,7,238,SEA,Ricky White,WR,23.0,UNLV,MWC,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,1041.0,11.0
2025,7,239,DAL,Phil Mafah,RB,22.0,Clemson,ACC,14.0,0.0,0.0,0.0,0.0,0.0,216.0,1115.0,8.0,21.0,103.0,0.0
2025,7,240,BUF,Kaden Prather,WR,23.0,Maryland,Big Ten,12.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,56.0,624.0,4.0
2025,7,241,DEN,Caleb Lohner,TE,24.0,Utah,Big 12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.0,4.0
2025,7,242,LAR,Konata Mumpfield,WR,22.0,Pittsburgh,ACC,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,813.0,5.0
2025,7,244,DET,Dominic Lovett,WR,22.0,Georgia,SEC,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,607.0,6.0
2025,7,245,WAS,Jacory Croskey-Merritt,RB,24.0,Arizona,Big 12,1.0,0.0,0.0,0.0,0.0,0.0,13.0,106.0,1.0,0.0,0.0,0.0
2025,7,248,NOR,Moliki Matavao,TE,22.0,UCLA,Big Ten,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,506.0,2.0
2025,7,252,SFO,Junior Bergen,WR,,Montana,,,,,,,,,,,,,
2025,7,255,HOU,Luke Lachey,TE,24.0,Iowa,Big Ten,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,0.0
