Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Troy Fumagalli,2019,DEN,TE,24,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,38.0,1.0,0.0,0.0,0.0,15.8,22.0,DEN
David Njoku,2019,CLE,TE,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,41.0,1.0,0.0,0.0,0.0,15.1,52.3,CLE
Mo Alie-Cox,2019,IND,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,93.0,0.0,0.0,0.0,0.0,17.3,80.4,IND
J.P. Holtz,2019,2TM,TE,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,91.0,0.0,0.0,0.0,0.0,16.1,0.0,CHI
Trey Burton,2019,CHI,TE,28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,84.0,0.0,0.0,0.0,0.0,22.4,83.3,IND
Luke Willson,2019,SEA,TE,29,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,79.0,0.0,0.0,0.0,0.0,15.9,2.2,2TM
Blake Bell,2019,KAN,TE,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,67.0,0.0,0.0,0.0,0.0,14.7,22.2,DAL
Cethan Carter,2019,CIN,TE,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,1.0,0.0,0.0,0.0,9.3,10.3,CIN
Durham Smythe,2019,MIA,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,65.0,0.0,0.0,0.0,0.0,13.5,58.8,MIA
Geoff Swaim,2019,JAX,TE,26,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,65.0,0.0,0.0,0.0,0.0,19.5,23.3,TEN
Tyler Conklin,2019,MIN,TE,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,58.0,0.0,0.0,0.0,0.0,13.8,44.4,MIN
Luke Stocker,2019,ATL,TE,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,53.0,0.0,0.0,0.0,0.0,13.3,13.3,ATL
Trevon Wesco,2019,NYJ,TE,24,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,47.0,0.0,0.0,0.0,0.0,6.9,1.5,NYJ
Deon Yelder,2019,KAN,TE,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,50.0,0.0,0.0,0.0,0.0,8.0,10.6,KAN
Pharaoh Brown,2019,CLE,TE,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,27.0,0.0,0.0,0.0,0.0,4.7,42.3,HOU
Tanner Hudson,2019,TAM,TE,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,26.0,0.0,0.0,0.0,0.0,4.6,7.1,TAM
Codey McElroy,2019,TAM,TE,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,TAM
Johnny Mundt,2019,LAR,TE,25,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,26.0,0.0,0.0,0.0,0.0,6.6,9.3,LAR
Drew Sample,2019,CIN,TE,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,30.0,0.0,0.0,0.0,0.0,8.0,78.9,CIN
Josh Oliver,2019,JAX,TE,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,15.0,0.0,0.0,0.0,0.0,4.5,15.6,BAL
Eric Saubert,2019,CHI,TE,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,4.1,4.6,JAX
Antony Auclair,2019,TAM,TE,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,2.1,0.0,TAM
Sean Culkin,2019,LAC,TE,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,2.2,0.0,BAL
Chris Herndon,2019,NYJ,TE,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.7,73.7,NYJ
Chris Manhertz,2019,CAR,TE,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,2.1,11.2,CAR
