Name,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear
Rashod Bateman,BAL,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,45.0,756.0,9.0,0.0,0.0,0.0,174.6,
Darnell Mooney,ATL,WR,27,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,64.0,992.0,5.0,0.0,0.0,0.0,193.2,
Puka Nacua,LAR,WR,23,11,0.0,0.0,0.0,0.0,0.0,11.0,46.0,1.0,106.0,79.0,990.0,3.0,0.0,0.0,0.0,206.6,
Xavier Worthy,KAN,WR,21,17,0.0,0.0,0.0,0.0,0.0,20.0,104.0,3.0,98.0,59.0,638.0,6.0,0.0,0.0,0.0,187.2,
D.K. Metcalf,SEA,WR,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,66.0,992.0,5.0,2.0,0.0,0.0,191.2,
Alec Pierce,IND,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,37.0,824.0,7.0,0.0,0.0,0.0,161.4,
Tank Bigsby,JAX,RB,23,16,0.0,0.0,0.0,0.0,0.0,168.0,766.0,7.0,12.0,7.0,54.0,0.0,1.0,0.0,0.0,129.0,
Quentin Johnston,LAC,WR,23,15,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,91.0,55.0,711.0,8.0,0.0,0.0,0.0,174.7,
Will Levis,TEN,QB,25,12,190.0,301.0,2091.0,13.0,12.0,45.0,183.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,119.9,
Justin Fields,PIT,QB,25,10,106.0,161.0,1106.0,5.0,1.0,62.0,289.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,119.1,
Dak Prescott,DAL,QB,31,8,185.0,286.0,1978.0,11.0,8.0,13.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,116.5,
Keenan Allen,CHI,WR,32,15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,121.0,70.0,744.0,7.0,0.0,0.0,0.0,184.4,
Josh Downs,IND,WR,23,14,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,107.0,72.0,803.0,5.0,0.0,0.0,0.0,183.5,
Cooper Rush,DAL,QB,31,12,187.0,308.0,1844.0,12.0,5.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,109.6,
Cooper Kupp,LAR,WR,31,12,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,100.0,67.0,710.0,6.0,0.0,0.0,0.0,175.0,
Khalil Shakir,BUF,WR,24,15,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,100.0,76.0,821.0,4.0,0.0,0.0,0.0,182.5,
Javonte Williams,DEN,RB,24,17,0.0,0.0,0.0,0.0,0.0,139.0,513.0,4.0,70.0,52.0,346.0,0.0,2.0,0.0,0.0,157.9,
George Pickens,PIT,WR,23,14,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,0.0,103.0,59.0,900.0,3.0,1.0,0.0,0.0,164.4,
