,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,61,DET,Ennis Rakestraw,DB,22,2024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Missouri,College Stats,RakeEn00
2,62,BAL,Roger Rosengarten,OL,22,2025,0,0,1,8,8,20,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats,RoseRo01
2,63,KAN,Kingsley Suamataia,OL,21,2025,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats,SuamKi00
2,64,SFO,Renardo Green,DB,23,2025,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,49,1,,Florida St.,College Stats,GreeRe00
3,65,NYJ,Malachi Corley,WR,22,2024,0,0,0,0,0,9,0,0,0,0,0,2,26,0,3,16,0,,,,Western Kentucky,College Stats,CorlMa00
3,66,ARI,Trey Benson,RB,22,2025,0,0,0,2,2,17,0,0,0,0,0,92,451,1,19,123,0,,,,Florida St.,College Stats,BensTr01
3,67,WAS,Brandon Coleman,OL,23,2025,0,0,1,8,8,18,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats,ColeBr02
3,68,NWE,Caedan Wallace,OL,24,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,WallCa00
3,69,LAC,Junior Colson,LB,21,2024,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,15,,,Michigan,College Stats,ColsJu00
3,70,NYG,Andru Phillips,DB,22,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,61,2,1.0,Kentucky,College Stats,PhilAn02
3,71,ARI,Isaiah Adams,OL,24,2025,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats,AdamIs01
3,72,CAR,Trevin Wallace,LB,21,2025,0,0,1,3,3,16,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,Kentucky,College Stats,WallTr00
3,73,DAL,Cooper Beebe,OL,23,2025,0,0,1,5,5,18,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats,BeebCo00
3,74,ATL,Bralen Trice,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,TricBr00
3,75,CHI,Kiran Amegadjie,OL,22,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Yale,,AmegKi00
