Player,Draft_Year,Team,Conf,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD
Chez Mellusi,2023,Wisconsin,Big Ten,,,,,,,112.0,473.0,2.0
Chez Mellusi,2024,Wisconsin,Big Ten,,,,,,,51.0,306.0,4.0
Chico McClatcher,2020,Washington,Pac-12,,,,,,,9.0,53.0,0.0
Chimere Dike,2021,Wisconsin,Big Ten,,,,,,,6.0,48.0,0.0
Chimere Dike,2022,Wisconsin,Big Ten,,,,,,,3.0,19.0,0.0
Chimere Dike,2023,Wisconsin,Big Ten,,,,,,,5.0,32.0,1.0
Chinedu Ogbonna,2020,Massachusetts,Ind,12.0,0.0,1.0,0.0,0.0,0.0,,,
Chip Omer,2020,Tennessee,SEC,,,,,,,2.0,24.0,0.0
Chris Carpenter,2023,UTSA,CUSA,,,,,,,3.0,18.0,0.0
Chris Childers,2022,Indiana,Big Ten,,,,,,,37.0,137.0,1.0
Chris Chugunov,2020,Ohio State,Big Ten,10.0,26.0,43.0,286.0,6.0,0.0,4.0,-10.0,0.0
Chris Culliver,2024,North Carolina,ACC,,,,,,,1.0,-4.0,0.0
Chris Cunningham,2020,Old Dominion,CUSA,,,,,,,3.0,2.0,0.0
Chris Curry,2020,LSU,SEC,,,,,,,38.0,189.0,0.0
Chris Curry,2021,LSU,SEC,,,,,,,45.0,145.0,0.0
Chris Curry,2022,Utah,Pac-12,,,,,,,18.0,80.0,0.0
Chris Curry,2023,Utah,Pac-12,,,,,,,12.0,81.0,1.0
Chris Curry,2024,Utah,Pac-12,,,,,,,8.0,28.0,0.0
Chris Edmonds,2024,Bowling Green,MAC,,,,,,,1.0,5.0,0.0
Chris Elmore,2020,Syracuse,ACC,,,,,,,2.0,2.0,0.0
Chris Evans,2021,Michigan,Big Ten,,,,,,,16.0,73.0,1.0
Chris Ferguson,2021,Liberty,Ind,6.0,19.0,37.0,197.0,4.0,0.0,4.0,-18.0,0.0
Chris Finke,2020,Notre Dame,Ind,,,,,,,2.0,2.0,0.0
Chris Herron,2020,Kansas State,Big 12,,,,,,,1.0,-1.0,0.0
Chris Jackson,2021,BYU,Ind,,,,,,,9.0,43.0,0.0
Chris Jackson,2022,BYU,Ind,,,,,,,3.0,12.0,0.0
Chris Jackson,2023,BYU,Ind,,,,,,,2.0,4.0,0.0
Chris Johnson Jr.,2024,Miami (FL),ACC,,,,,,,11.0,73.0,1.0
Chris Katrenick,2020,Duke,ACC,5.0,3.0,13.0,49.0,1.0,1.0,13.0,47.0,1.0
Chris Katrenick,2021,Duke,ACC,1.0,2.0,3.0,40.0,0.0,0.0,3.0,-6.0,0.0
Chris Lewis,2024,Troy,Sun Belt,14.0,2.0,2.0,41.0,1.0,0.0,1.0,1.0,0.0
Chris Long,2023,Rutgers,Big Ten,,,,,,,1.0,7.0,0.0
Chris Lovick,2020,Tulsa,American,,,,,,,9.0,36.0,0.0
Chris Lovick,2021,Tulsa,American,,,,,,,9.0,47.0,0.0
Chris Moore,2021,Georgia State,Sun Belt,,,,,,,1.0,32.0,0.0
Chris Olave,2020,Ohio State,Big Ten,,,,,,,2.0,5.0,0.0
Chris Olave,2021,Ohio State,Big Ten,,,,,,,1.0,0.0,0.0
Chris Parson,2024,Mississippi State,SEC,2.0,11.0,26.0,103.0,0.0,3.0,9.0,-9.0,0.0
Chris Platt,2020,Baylor,Big 12,,,,,,,4.0,19.0,1.0
Chris Reynolds,2020,Charlotte,CUSA,13.0,181.0,291.0,2564.0,22.0,11.0,153.0,791.0,6.0
Chris Reynolds,2021,Charlotte,CUSA,6.0,96.0,175.0,1305.0,8.0,2.0,50.0,36.0,0.0
Chris Reynolds,2022,Charlotte,CUSA,11.0,215.0,337.0,2684.0,26.0,9.0,86.0,164.0,4.0
Chris Reynolds,2023,Charlotte,CUSA,10.0,201.0,316.0,2540.0,22.0,11.0,46.0,-40.0,1.0
Chris Robison,2020,Florida Atlantic,CUSA,14.0,291.0,471.0,3701.0,28.0,6.0,84.0,-60.0,2.0
Chris Smith,2020,Louisiana,Sun Belt,,,,,,,32.0,334.0,4.0
Chris Smith,2021,Louisiana,Sun Belt,,,,,,,62.0,350.0,1.0
Chris Smith,2022,Louisiana,Sun Belt,13.0,1.0,1.0,37.0,1.0,0.0,153.0,855.0,8.0
Chris Smith,2023,Louisiana,Sun Belt,,,,,,,126.0,625.0,3.0
Chris Street,2021,California,Pac-12,,,,,,,1.0,2.0,0.0
Chris Street,2022,California,Pac-12,,,,,,,21.0,107.0,1.0
Chris Tyree,2021,Notre Dame,ACC,,,,,,,73.0,496.0,4.0
Chris Tyree,2022,Notre Dame,Ind,,,,,,,56.0,222.0,1.0
Chris Tyree,2023,Notre Dame,Ind,,,,,,,100.0,444.0,3.0
Chris Tyree,2024,Notre Dame,Ind,,,,,,,3.0,-1.0,0.0
Chris Velotta,2024,Notre Dame,Ind,,,,,,,3.0,18.0,0.0
Chrishon McCray,2024,Kent State,MAC,,,,,,,4.0,22.0,0.0
Christian Anderson,2020,Army,Ind,7.0,7.0,23.0,135.0,1.0,0.0,67.0,429.0,4.0
Christian Anderson,2021,Army,Ind,7.0,20.0,47.0,215.0,1.0,4.0,94.0,419.0,4.0
Christian Anderson,2022,Army,Ind,12.0,34.0,67.0,773.0,5.0,0.0,116.0,652.0,9.0
Christian Beal,2020,Wake Forest,ACC,,,,,,,71.0,304.0,2.0
Christian Beal,2021,Wake Forest,ACC,,,,,,,142.0,732.0,5.0
Christian Beal,2022,Wake Forest,ACC,,,,,,,131.0,604.0,7.0
Christian Beal-Smith,2020,Wake Forest,ACC,,,,,,,71.0,304.0,2.0
Christian Beal-Smith,2021,Wake Forest,ACC,,,,,,,142.0,732.0,5.0
Christian Beal-Smith,2022,Wake Forest,ACC,,,,,,,131.0,604.0,7.0
Christian Beal-Smith,2023,South Carolina,SEC,,,,,,,39.0,156.0,5.0
Christian Bolvin,2022,Michigan,Big Ten,,,,,,,1.0,2.0,0.0
Christian Brown,2023,Central Michigan,MAC,,,,,,,6.0,28.0,0.0
Christian Daniels,2020,Tulane,American,,,,,,,3.0,23.0,0.0
Christian Daniels,2022,Tulane,American,4.0,2.0,2.0,14.0,0.0,0.0,4.0,29.0,0.0
Christian Dremel,2022,Rutgers,Big Ten,,,,,,,1.0,8.0,0.0
Christian Dremel,2023,Rutgers,Big Ten,,,,,,,1.0,17.0,0.0
Christian Francisco,2024,Rice,American,,,,,,,1.0,4.0,1.0
Christian Gibson,2020,New Mexico State,Ind,,,,,,,99.0,489.0,3.0
Christian Grubb,2023,UCLA,Pac-12,,,,,,,8.0,57.0,1.0
Christian Hayes,2020,Army,Ind,,,,,,,1.0,35.0,0.0
Christian Hunter,2020,Colorado State,MWC,,,,,,,24.0,99.0,1.0
Christian Hunter,2021,Colorado State,MWC,,,,,,,8.0,37.0,0.0
Christian Leary,2022,Alabama,SEC,,,,,,,3.0,22.0,0.0
Christian Leary,2024,Georgia Tech,ACC,,,,,,,2.0,-2.0,0.0
Christian Mallard,2020,Air Force,MWC,,,,,,,40.0,192.0,2.0
Christian Malloy,2020,Georgia Tech,ACC,,,,,,,7.0,32.0,0.0
Christian Malloy,2022,Coastal Carolina,Sun Belt,,,,,,,11.0,72.0,0.0
Christian Nash,2024,Northern Illinois,MAC,,,,,,,8.0,35.0,0.0
Christian Parrish,2021,Army,Ind,,,,,,,5.0,16.0,0.0
Christian Sims,2022,Bowling Green,MAC,,,,,,,1.0,4.0,1.0
Christian Sims,2023,Bowling Green,MAC,,,,,,,2.0,7.0,0.0
Christian Singleton,2021,Western Michigan,MAC,,,,,,,2.0,7.0,1.0
Christian Turner,2020,Michigan,Big Ten,,,,,,,44.0,171.0,1.0
Christian Turner,2022,Wake Forest,ACC,,,,,,,126.0,506.0,5.0
Christian Turner,2023,Wake Forest,ACC,,,,,,,128.0,516.0,7.0
Christian Turner,2024,Indiana,Big Ten,,,,,,,52.0,227.0,2.0
Christian Veilleux,2022,Penn State,Big Ten,2.0,16.0,26.0,238.0,3.0,0.0,12.0,39.0,0.0
Christian Veilleux,2023,Penn State,Big Ten,3.0,7.0,9.0,44.0,0.0,0.0,2.0,-4.0,0.0
Christian Veilleux,2024,Pitt,ACC,7.0,94.0,184.0,1179.0,7.0,8.0,24.0,-14.0,0.0
Christian Washington,2023,New Mexico,MWC,,,,,,,73.0,310.0,0.0
Christian Washington,2024,New Mexico,MWC,,,,,,,12.0,11.0,0.0
Christian Wells,2023,Appalachian State,Sun Belt,,,,,,,1.0,4.0,0.0
Christian Wells,2024,Massachusetts,Ind,,,,,,,2.0,-4.0,0.0
Christopher Brooks,2020,California,Pac-12,,,,,,,208.0,914.0,8.0
Christopher Brooks,2021,California,Pac-12,,,,,,,21.0,65.0,1.0
Christopher Brooks,2022,California,Pac-12,,,,,,,116.0,607.0,4.0
Christopher Brooks,2023,BYU,Ind,,,,,,,130.0,817.0,6.0
Christopher Dunn,2023,North Carolina State,ACC,,,,,,,1.0,1.0,0.0
Christopher Rodriguez Jr.,2020,Kentucky,SEC,,,,,,,71.0,533.0,6.0
Christopher Rodriguez Jr.,2021,Kentucky,SEC,,,,,,,119.0,785.0,11.0
Christopher Rodriguez Jr.,2022,Kentucky,SEC,,,,,,,225.0,1379.0,9.0
Christopher Rodriguez Jr.,2023,Kentucky,SEC,,,,,,,175.0,904.0,6.0
Chritauskie Dove,2021,Missouri,SEC,10.0,1.0,1.0,16.0,0.0,0.0,,,
Chritauskie Dove,2023,Missouri,SEC,,,,,,,1.0,-4.0,0.0
Chuba Hubbard,2020,Oklahoma State,Big 12,,,,,,,328.0,2094.0,21.0
Chuba Hubbard,2021,Oklahoma State,Big 12,,,,,,,133.0,625.0,5.0
Chubba Purdy,2021,Florida State,ACC,3.0,27.0,53.0,219.0,2.0,1.0,19.0,57.0,0.0
Chubba Purdy,2022,Florida State,ACC,1.0,5.0,5.0,98.0,2.0,0.0,1.0,5.0,0.0
Chubba Purdy,2023,Nebraska,Big Ten,6.0,22.0,48.0,147.0,0.0,3.0,24.0,73.0,2.0
Chubba Purdy,2024,Nebraska,Big Ten,6.0,31.0,57.0,382.0,2.0,3.0,29.0,180.0,1.0
Chuuky Hines,2024,Hawaii,MWC,12.0,1.0,1.0,26.0,1.0,0.0,1.0,8.0,0.0
Chux Nwabuko III,2020,Texas Tech,Big 12,,,,,,,1.0,1.0,0.0
Clay Markoff,2020,Washington State,Pac-12,,,,,,,9.0,25.0,0.0
Clay Markoff,2021,Washington State,Pac-12,,,,,,,4.0,12.0,0.0
Clay Markoff,2022,Arizona,Pac-12,,,,,,,3.0,20.0,0.0
Clay Millen,2022,Nevada,MWC,2.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0
Clay Millen,2023,Colorado State,MWC,10.0,169.0,234.0,1910.0,10.0,6.0,100.0,-28.0,0.0
Clay Millen,2024,Colorado State,MWC,1.0,15.0,24.0,110.0,0.0,1.0,2.0,-8.0,0.0
Clayton Stewart,2023,Wyoming,MWC,,,,,,,1.0,-12.0,0.0
Clayton Tune,2020,Houston,American,7.0,106.0,179.0,1533.0,11.0,9.0,66.0,244.0,2.0
Clayton Tune,2021,Houston,American,8.0,170.0,285.0,2048.0,15.0,10.0,72.0,253.0,5.0
Clayton Tune,2022,Houston,American,14.0,287.0,421.0,3546.0,30.0,10.0,105.0,154.0,2.0
Clayton Tune,2023,Houston,American,13.0,334.0,496.0,4074.0,40.0,10.0,128.0,544.0,5.0
Clayton Welch,2020,Syracuse,ACC,9.0,36.0,68.0,523.0,4.0,2.0,20.0,58.0,0.0
Clevan Thomas,2020,Kentucky,SEC,,,,,,,3.0,-1.0,0.0
Clifton McDowell,2020,Louisiana,Sun Belt,2.0,1.0,1.0,8.0,0.0,0.0,,,
Clint Ratkovich,2022,Northern Illinois,MAC,14.0,1.0,1.0,3.0,0.0,0.0,105.0,461.0,13.0
Clyde Edwards-Helaire,2020,LSU,SEC,,,,,,,215.0,1414.0,16.0
Clyde Price,2023,Akron,MAC,,,,,,,99.0,309.0,7.0
Coco Azema,2020,Northwestern,Big Ten,,,,,,,7.0,123.0,1.0
Cody Brown,2022,Miami (FL),ACC,,,,,,,34.0,139.0,3.0
Cody Brown,2023,Virginia,ACC,,,,,,,2.0,4.0,0.0
Cody Grace,2020,Arkansas State,Sun Belt,13.0,1.0,1.0,15.0,0.0,0.0,1.0,18.0,0.0
Cody Schrader,2023,Missouri,SEC,,,,,,,170.0,745.0,9.0
Cody Schrader,2024,Missouri,SEC,,,,,,,276.0,1627.0,14.0
Cody Simon,2024,Ohio State,Big Ten,,,,,,,1.0,-3.0,0.0
Cody White,2020,Michigan State,Big Ten,13.0,0.0,2.0,0.0,0.0,0.0,6.0,22.0,0.0
Colby McDonald,2022,Maryland,Big Ten,,,,,,,60.0,325.0,2.0
Colby McDonald,2023,Maryland,Big Ten,,,,,,,30.0,140.0,2.0
Colby McDonald,2024,Maryland,Big Ten,,,,,,,53.0,306.0,2.0
Colby Parkinson,2020,Stanford,Pac-12,12.0,1.0,1.0,8.0,1.0,0.0,,,
Colby Suits,2020,Louisiana-Monroe,Sun Belt,4.0,6.0,19.0,69.0,0.0,2.0,5.0,13.0,0.0
Colby Suits,2021,Louisiana-Monroe,Sun Belt,8.0,152.0,249.0,1541.0,8.0,7.0,35.0,57.0,0.0
Colby Suits,2022,Louisiana-Monroe,Sun Belt,3.0,8.0,13.0,54.0,0.0,1.0,4.0,-15.0,0.0
Cole Ballard,2024,Kansas,Big 12,4.0,20.0,36.0,286.0,1.0,3.0,20.0,75.0,0.0
Cole Cabana,2024,Michigan,Big Ten,,,,,,,2.0,6.0,0.0
Cole Cavallo,2022,Southern Mississippi,CUSA,,,,,,,3.0,4.0,0.0
Cole Freeman,2023,Northwestern,Big Ten,3.0,22.0,45.0,178.0,0.0,5.0,18.0,66.0,0.0
Cole Fuller,2024,Jacksonville State,CUSA,,,,,,,1.0,1.0,1.0
Cole Gest,2020,Indiana,Big Ten,,,,,,,4.0,12.0,1.0
Cole Harrity,2024,Buffalo,MAC,,,,,,,4.0,18.0,0.0
Cole Kinder,2020,UCLA,Pac-12,,,,,,,4.0,33.0,0.0
Cole Kramer,2020,Minnesota,Big Ten,3.0,0.0,2.0,0.0,0.0,1.0,,,
Cole Kramer,2022,Minnesota,Big Ten,8.0,3.0,3.0,62.0,2.0,0.0,36.0,165.0,2.0
Cole Kramer,2023,Minnesota,Big Ten,8.0,5.0,8.0,41.0,0.0,0.0,6.0,27.0,0.0
Cole Kramer,2024,Minnesota,Big Ten,3.0,8.0,17.0,26.0,2.0,2.0,5.0,34.0,1.0
Cole McDonald,2020,Hawaii,MWC,14.0,326.0,511.0,4135.0,33.0,14.0,101.0,383.0,7.0
Cole Nelson,2024,Virginia Tech,ACC,,,,,,,1.0,18.0,0.0
Cole Pennington,2024,Marshall,Sun Belt,4.0,64.0,112.0,695.0,0.0,6.0,15.0,-69.0,0.0
Cole Schneider,2021,UCF,American,,,,,,,1.0,1.0,1.0
Cole Snyder,2020,Rutgers,Big Ten,3.0,3.0,3.0,35.0,0.0,0.0,1.0,6.0,0.0
Cole Snyder,2022,Rutgers,Big Ten,6.0,18.0,28.0,130.0,1.0,0.0,15.0,42.0,0.0
Cole Snyder,2023,Buffalo,MAC,13.0,271.0,461.0,3030.0,18.0,8.0,110.0,146.0,4.0
Cole Snyder,2024,Buffalo,MAC,12.0,203.0,372.0,2108.0,13.0,9.0,67.0,88.0,1.0
Colin Parachek,2024,Marshall,Sun Belt,1.0,0.0,1.0,0.0,0.0,1.0,,,
Collin Drake,2024,Georgia,SEC,1.0,1.0,1.0,2.0,0.0,0.0,,,
Collin Hill,2020,Colorado State,MWC,3.0,69.0,102.0,840.0,8.0,2.0,10.0,0.0,1.0
Collin Hill,2021,South Carolina,SEC,8.0,127.0,215.0,1411.0,6.0,6.0,43.0,-66.0,4.0
Collin Schlee,2021,Kent State,MAC,3.0,7.0,13.0,113.0,2.0,0.0,12.0,85.0,1.0
Collin Schlee,2022,Kent State,MAC,10.0,17.0,24.0,238.0,1.0,0.0,20.0,127.0,3.0
Collin Schlee,2023,Kent State,MAC,11.0,157.0,266.0,2109.0,13.0,5.0,98.0,489.0,4.0
Collin Schlee,2024,UCLA,Pac-12,7.0,25.0,47.0,217.0,2.0,2.0,42.0,425.0,3.0
Colson Yankoff,2023,UCLA,Pac-12,,,,,,,34.0,174.0,1.0
Colson Yankoff,2024,UCLA,Pac-12,,,,,,,13.0,83.0,1.0
Colston Loveland,2023,Michigan,Big Ten,,,,,,,1.0,-8.0,0.0
Colt Fulton,2023,Boise State,MWC,,,,,,,1.0,7.0,0.0
Colten Gauthier,2022,South Carolina,SEC,1.0,1.0,1.0,19.0,0.0,0.0,,,
Colten Gauthier,2024,South Carolina,SEC,1.0,1.0,2.0,15.0,0.0,0.0,,,
Coltin Clark,2020,Arkansas State,Sun Belt,,,,,,,1.0,0.0,0.0
Coltin Clark,2021,Arkansas State,Sun Belt,1.0,0.0,2.0,0.0,0.0,0.0,,,
Colton Boomer,2024,UCF,Big 12,,,,,,,1.0,24.0,0.0
Colton Parton,2020,Air Force,MWC,,,,,,,2.0,19.0,0.0
Colton Spangler,2024,Maryland,Big Ten,,,,,,,1.0,14.0,0.0
Conner Carey,2022,Air Force,MWC,,,,,,,2.0,19.0,0.0
Conner Harrell,2024,North Carolina,ACC,5.0,22.0,33.0,278.0,2.0,2.0,21.0,55.0,1.0
Conner Lillig,2020,Illinois,Big Ten,,,,,,,2.0,8.0,0.0
Conner Lillig,2021,Illinois,Big Ten,,,,,,,3.0,14.0,0.0
Conner Weigman,2023,Texas A&M,SEC,5.0,73.0,132.0,896.0,8.0,0.0,27.0,97.0,0.0
Conner Weigman,2024,Texas A&M,SEC,4.0,82.0,119.0,979.0,8.0,2.0,12.0,63.0,2.0
Connor Adair,2020,Memphis,American,5.0,10.0,15.0,109.0,0.0,0.0,2.0,26.0,1.0
Connor Adair,2021,Memphis,American,2.0,0.0,2.0,0.0,0.0,0.0,,,
Connor Bazelak,2020,Missouri,SEC,3.0,15.0,21.0,144.0,0.0,0.0,7.0,2.0,0.0
Connor Bazelak,2021,Missouri,SEC,10.0,218.0,324.0,2366.0,7.0,6.0,44.0,20.0,2.0
Connor Bazelak,2022,Missouri,SEC,11.0,246.0,377.0,2548.0,16.0,11.0,33.0,-23.0,0.0
Connor Bazelak,2023,Indiana,Big Ten,10.0,235.0,426.0,2312.0,13.0,10.0,47.0,-160.0,1.0
Connor Bazelak,2024,Bowling Green,MAC,11.0,168.0,278.0,1935.0,12.0,7.0,44.0,-82.0,2.0
Connor Blumrick,2020,Texas A&M,SEC,,,,,,,7.0,28.0,0.0
Connor Blumrick,2022,Virginia Tech,ACC,6.0,16.0,31.0,152.0,2.0,0.0,56.0,242.0,3.0
Connor Blumrick,2023,Virginia Tech,ACC,,,,,,,2.0,-1.0,0.0
Connor Bowler,2021,Charlotte,CUSA,,,,,,,1.0,-33.0,0.0
Connor Cigelske,2022,Georgia Southern,Sun Belt,2.0,22.0,38.0,229.0,0.0,1.0,24.0,17.0,0.0
Connor Cigelske,2023,Georgia Southern,Sun Belt,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0
Connor Coles,2023,Utah State,MWC,,,,,,,1.0,6.0,1.0
Connor Genal,2021,New Mexico,MWC,2.0,11.0,18.0,98.0,0.0,2.0,1.0,4.0,0.0
Connor Genal,2022,New Mexico,MWC,2.0,5.0,14.0,44.0,0.0,1.0,4.0,8.0,0.0
Connor Heyward,2020,Michigan State,Big Ten,,,,,,,24.0,79.0,0.0
Connor Heyward,2021,Michigan State,Big Ten,,,,,,,65.0,200.0,0.0
Connor Heyward,2022,Michigan State,Big Ten,,,,,,,1.0,7.0,0.0
Connor Newhouse,2022,Northwestern,Big Ten,,,,,,,1.0,25.0,0.0
Connor Riddle,2021,Boise State,MWC,,,,,,,1.0,-9.0,0.0
Connor Slomka,2020,Army,Ind,,,,,,,149.0,658.0,8.0
Connor Thomas,2020,Indiana,Big Ten,,,,,,,6.0,11.0,0.0
Connor Walendzak,2024,Toledo,MAC,,,,,,,17.0,30.0,2.0
Connor Wedington,2020,Stanford,Pac-12,,,,,,,3.0,30.0,0.0
Connor Witthoft,2022,New Mexico,MWC,,,,,,,1.0,8.0,0.0
Conrad Rowley,2020,Northwestern,Big Ten,,,,,,,1.0,-13.0,0.0
Cooper Allen,2024,Army,Ind,,,,,,,1.0,-13.0,0.0
Cooper DeJean,2024,Iowa,Big Ten,,,,,,,1.0,8.0,0.0
Cooper Jewett,2021,Nebraska,Big Ten,,,,,,,1.0,2.0,0.0
Cooper Jewett,2022,Nebraska,Big Ten,,,,,,,2.0,5.0,0.0
Cooper Jewett,2023,Nebraska,Big Ten,,,,,,,2.0,6.0,0.0
Cooper Jones,2024,Utah State,MWC,,,,,,,14.0,45.0,1.0
Cooper Legas,2022,Utah State,MWC,2.0,11.0,20.0,171.0,2.0,1.0,8.0,-14.0,0.0
Cooper Legas,2023,Utah State,MWC,10.0,135.0,221.0,1499.0,11.0,10.0,108.0,303.0,2.0
Cooper Legas,2024,Utah State,MWC,9.0,138.0,213.0,1815.0,19.0,8.0,68.0,122.0,0.0
Cooper Lutz,2021,Syracuse,ACC,,,,,,,43.0,246.0,1.0
Cooper Lutz,2022,Syracuse,ACC,,,,,,,17.0,60.0,1.0
Cooper Lutz,2023,Vanderbilt,SEC,,,,,,,6.0,24.0,1.0
Coran Taylor,2020,Illinois,Big Ten,,,,,,,2.0,11.0,0.0
Coran Taylor,2021,Illinois,Big Ten,2.0,23.0,46.0,379.0,3.0,2.0,36.0,74.0,0.0
Cord Sandberg,2020,Auburn,SEC,2.0,5.0,7.0,84.0,2.0,0.0,7.0,35.0,0.0
Cord Sandberg,2021,Auburn,SEC,1.0,1.0,1.0,8.0,0.0,0.0,,,
Cordale Grundy,2020,UTSA,CUSA,2.0,1.0,5.0,4.0,0.0,1.0,3.0,-3.0,0.0
Cordarrian Richardson,2020,Texas A&M,SEC,,,,,,,25.0,232.0,4.0
Corey Crooms,2022,Western Michigan,MAC,,,,,,,1.0,6.0,0.0
Corey Crooms,2023,Western Michigan,MAC,,,,,,,2.0,-5.0,0.0
Corey Dauphine,2020,Tulane,American,,,,,,,72.0,575.0,7.0
Corey Kiner,2022,LSU,SEC,,,,,,,79.0,320.0,2.0
Corey Kiner,2023,Cincinnati,American,,,,,,,81.0,362.0,5.0
Corey Kiner,2024,Cincinnati,Big 12,,,,,,,192.0,1047.0,5.0
Corey Rucker,2022,Arkansas State,Sun Belt,,,,,,,2.0,20.0,1.0
Corey Rucker,2024,Arkansas State,Sun Belt,,,,,,,1.0,6.0,0.0
Corey Stewart,2024,Ball State,MAC,,,,,,,1.0,-4.0,0.0
Corey Taylor II,2020,Tulsa,American,,,,,,,119.0,461.0,6.0
Corey Taylor II,2021,Tulsa,American,,,,,,,105.0,516.0,4.0
Corey Wren,2023,Texas Christian,Big 12,,,,,,,6.0,34.0,0.0
Corey Wren,2024,Texas Christian,Big 12,,,,,,,9.0,27.0,0.0
Cornelious Brown,2020,Georgia State,Sun Belt,4.0,11.0,28.0,130.0,0.0,1.0,4.0,15.0,0.0
Cornelious Brown,2021,Georgia State,Sun Belt,10.0,178.0,304.0,2278.0,17.0,10.0,98.0,301.0,7.0
Cornelious Brown,2022,Georgia State,Sun Belt,5.0,42.0,81.0,384.0,0.0,4.0,30.0,49.0,2.0
Cornelius Johnson,2022,Michigan,Big Ten,,,,,,,3.0,30.0,0.0
Cornelius Johnson,2024,Michigan,Big Ten,,,,,,,3.0,40.0,0.0
Cornelius McCoy,2020,Georgia State,Sun Belt,,,,,,,1.0,4.0,0.0
Cornelius McCoy,2022,Georgia State,Sun Belt,,,,,,,3.0,28.0,0.0
Cornell Hendrick,2020,Old Dominion,CUSA,,,,,,,5.0,4.0,0.0
Cornell Hendrick Jr.,2020,Old Dominion,CUSA,,,,,,,5.0,4.0,0.0
Corren Norman,2022,LSU,SEC,,,,,,,1.0,7.0,0.0
Courtney Jackson,2022,Syracuse,ACC,,,,,,,4.0,23.0,0.0
Courtney Jackson,2023,Syracuse,ACC,,,,,,,2.0,-2.0,0.0
Courtney Jackson,2024,Arkansas State,Sun Belt,,,,,,,1.0,5.0,0.0
Courtney McKinney,2020,Wake Forest,ACC,,,,,,,6.0,19.0,0.0
Courtney Reese,2020,Nevada-Las Vegas,MWC,,,,,,,11.0,52.0,1.0
Courtney Reese,2021,Nevada-Las Vegas,MWC,,,,,,,9.0,53.0,0.0
Courtney Reese,2022,Nevada-Las Vegas,MWC,,,,,,,14.0,28.0,1.0
Courtney Reese,2023,Nevada-Las Vegas,MWC,,,,,,,51.0,370.0,0.0
Courtney Reese,2024,Nevada-Las Vegas,MWC,,,,,,,59.0,233.0,4.0
Coy Eakin,2024,Texas Tech,Big 12,10.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
Craig Burt Jr.,2021,Western Kentucky,CUSA,,,,,,,1.0,-8.0,0.0
Craig Elmore,2020,Kent State,MAC,,,,,,,12.0,43.0,1.0
Craig Williams,2021,Baylor,Big 12,,,,,,,26.0,197.0,2.0
Craig Williams,2022,Baylor,Big 12,,,,,,,4.0,15.0,0.0
Craig Williams,2023,Baylor,Big 12,,,,,,,101.0,557.0,4.0
Creed Whittemore,2024,Mississippi State,SEC,,,,,,,4.0,60.0,1.0
Cristian Solano,2020,Nevada,MWC,11.0,25.0,41.0,248.0,2.0,2.0,26.0,138.0,0.0
Cross Patton,2023,Nevada,MWC,,,,,,,11.0,37.0,0.0
Cross Patton,2024,Nevada,MWC,,,,,,,13.0,34.0,0.0
Curtis Douglas,2024,Kent State,MAC,,,,,,,8.0,39.0,0.0
Cyrus Allen,2023,Louisiana Tech,CUSA,,,,,,,5.0,8.0,0.0
Cyrus Allen,2024,Louisiana Tech,CUSA,,,,,,,2.0,-8.0,0.0
Cyrus Bonsu,2022,Massachusetts,Ind,,,,,,,1.0,5.0,0.0
Cyrus Habibi-Likio,2020,Oregon,Pac-12,,,,,,,85.0,337.0,10.0
Cyrus Habibi-Likio,2021,Oregon,Pac-12,,,,,,,19.0,36.0,4.0
Cyrus Habibi-Likio,2022,Boise State,MWC,,,,,,,107.0,374.0,2.0
D'Andre Swift,2020,Georgia,SEC,,,,,,,196.0,1218.0,7.0
D'Eriq King,2020,Houston,American,4.0,58.0,110.0,663.0,6.0,2.0,55.0,312.0,6.0
D'Eriq King,2021,Miami (FL),ACC,11.0,211.0,329.0,2686.0,23.0,5.0,130.0,538.0,4.0
D'Eriq King,2022,Miami (FL),ACC,3.0,81.0,122.0,767.0,3.0,4.0,40.0,96.0,0.0
D'Vaughn Pennamon,2020,Ole Miss,SEC,,,,,,,3.0,5.0,0.0
D'Vonte Price,2020,Florida International,CUSA,,,,,,,50.0,249.0,0.0
D'Vonte Price,2021,Florida International,CUSA,,,,,,,85.0,581.0,4.0
D'Vonte Price,2022,Florida International,CUSA,,,,,,,129.0,682.0,6.0
D'Wan Mathis,2021,Georgia,SEC,4.0,12.0,30.0,89.0,1.0,3.0,18.0,17.0,0.0
D'Wan Mathis,2022,Temple,American,7.0,116.0,195.0,1225.0,6.0,4.0,48.0,82.0,1.0
D'Wan Mathis,2023,Temple,American,9.0,14.0,30.0,125.0,0.0,0.0,12.0,8.0,0.0
D'Wanyé Winfield,2024,Louisiana,Sun Belt,,,,,,,5.0,19.0,0.0
D'Wayne Eskridge,2021,Western Michigan,MAC,,,,,,,1.0,27.0,0.0
D'ionte Smith,2021,Missouri,SEC,,,,,,,1.0,9.0,0.0
D'ionte Smith,2022,Missouri,SEC,,,,,,,2.0,4.0,1.0
